id,abbrev,state,capital,latitude,longitude,population,trivia
1,AL,Alabama,Montgomery,32.38012,-86.300629,205764,a
2,AK,Alaska,Juneau,58.29974,-134.406794,31275,a
4,AZ,Arizona,Phoenix,33.44826,-112.075774,1445632,a
5,AR,Arkansas,Little Rock,34.748655,-92.274494,193524,a
6,CA,California,Sacramento,38.579065,-121.491014,466488,a
8,CO,Colorado,Denver,39.74001,-104.992259,600158,a
9,CT,Connecticut,Hartford,41.763325,-72.674069,124775,a
10,DE,Delaware,Dover,39.158035,-75.524734,36047,a
12,FL,Florida,Tallahassee,30.439775,-84.280649,181376,a
13,GA,Georgia,Atlanta,33.748315,-84.391109,420003,a
15,HI,Hawaii,Honolulu,21.30477,-157.857614,337256,a
16,ID,Idaho,Boise,43.60698,-116.193409,205671,a
17,IL,Illinois,Springfield,39.801055,-89.643604,116250,a
18,IN,Indiana,Indianapolis,39.76691,-86.149964,820445,a
19,IA,Iowa,Des Moines,41.58979,-93.615659,203433,a
20,KS,Kansas,Topeka,39.049285,-95.671184,127473,a
21,KY,Kentucky,Frankfort,38.19507,-84.878694,25527,a
22,LA,Louisiana,Baton Rouge,30.443345,-91.186994,229493,a
23,ME,Maine,Augusta,44.318036,-69.776218,19136,a
24,MD,Maryland,Annapolis,38.9767,-76.489934,38394,a
25,MA,Massachusetts,Boston,42.358635,-71.056699,617594,a
26,MI,Michigan,Lansing,42.73194,-84.552249,114297,a
27,MN,Minnesota,Saint Paul,44.943829,-93.093326,285068,a
28,MS,Mississippi,Jackson,32.29869,-90.180489,173514,a
29,MO,Missouri,Jefferson City,38.577515,-92.177839,43079,a
30,MT,Montana,Helana,46.58976,-112.021202,28190,a
31,NE,Nebraska,Lincoln,40.81362,-96.707739,258379,a
32,NV,Nevada,Carson City,39.164885,-119.766999,55274,a
33,NH,New Hampshire,Concord,43.20725,-71.536604,42695,a
34,NJ,New Jersey,Trenton,40.217875,-74.759404,84913,a
35,NM,New Mexico,Santa Fe,35.691543,-105.937406,67947,a
36,NY,New York,Albany,42.651445,-73.755254,97856,a
37,NC,North Carolina,Raleigh,35.78551,-78.642669,403892,a
38,ND,North Dakota,Bismarck,46.805372,-100.779334,61272,a
39,OH,Ohio,Columbus,39.96196,-83.002984,787033,a
40,OK,Oklahoma,Oklahoma City,35.472015,-97.520354,579999,a
41,OR,Oregon,Salem,44.93326,-123.043814,154637,a
42,PA,Pennsylvania,Harrisburg,40.259865,-76.88223,49528,a
44,RI,Rhode Island,Providence,41.823875,-71.411994,178042,a
45,SC,South Carolina,Columbia,33.99855,-81.045249,129272,a
46,SD,South Dakota,Pierre,44.368924,-100.350158,13646,a
47,TN,Tennessee,Nashville,36.167783,-86.778365,601222,a
48,TX,Texas,Austin,30.267605,-97.742984,790390,a
49,UT,Utah,Salt Lake City,40.759505,-111.888229,186440,a
50,VT,Vermont,Montpelier,44.260299,-72.576264,7855,a
51,VA,Virginia,Richmond,37.5407,-77.433654,204214,a
53,WA,Washington,Olympia,47.039231,-122.891366,46478,a
54,WV,West Virginia,Charleston,38.350195,-81.638989,51400,a
55,WI,Wisconsin,Madison,43.07295,-89.386694,233209,a
56,WY,Wyoming,Cheyenne,41.134815,-104.821544,59466,a